blank,datetime,temperature,precipitationform,precipitationprob,humidity,windspeed,winddirection,cloud,precipitation,year,month,day,hour,pressure
0.0,2017-05-01 00:00:00,11.0,0.0,10.0,95.0,0.4,225.0,2.0,0.0,2017.0,5.0,1.0,0.0,1004.5
1.0,2017-05-01 01:00:00,10.666666666666666,0.0,10.0,96.66666666666669,0.5666666666666667,242.0,2.0,0.0,2017.0,5.0,1.0,1.0,1004.9
2.0,2017-05-01 02:00:00,10.333333333333334,0.0,10.0,98.33333333333331,0.7333333333333334,259.0,2.0,0.0,2017.0,5.0,1.0,2.0,1004.8
3.0,2017-05-01 03:00:00,10.0,0.0,10.0,100.0,0.9,276.0,2.0,0.0,2017.0,5.0,1.0,3.0,1005.1
4.0,2017-05-01 04:00:00,9.666666666666666,0.0,10.0,100.0,0.8666666666666667,260.6666666666667,2.0,0.0,2017.0,5.0,1.0,4.0,1005.5
5.0,2017-05-01 05:00:00,9.333333333333334,0.0,10.0,100.0,0.8333333333333334,245.33333333333331,2.0,0.0,2017.0,5.0,1.0,5.0,1005.6
6.0,2017-05-01 06:00:00,9.0,0.0,10.0,100.0,0.8,230.0,2.0,0.0,2017.0,5.0,1.0,6.0,1006.4
7.0,2017-05-01 07:00:00,11.0,0.0,6.666666666666666,100.0,0.5666666666666667,168.33333333333334,1.6666666666666667,0.0,2017.0,5.0,1.0,7.0,1007.0
8.0,2017-05-01 08:00:00,13.0,0.0,3.333333333333333,100.0,0.3333333333333333,106.66666666666669,1.3333333333333337,0.0,2017.0,5.0,1.0,8.0,1007.7
9.0,2017-05-01 09:00:00,15.0,0.0,0.0,100.0,0.1,45.0,1.0,0.0,2017.0,5.0,1.0,9.0,1007.8
10.0,2017-05-01 10:00:00,19.33333333333333,0.0,0.0,78.33333333333333,0.6666666666666666,77.33333333333334,1.0,0.0,2017.0,5.0,1.0,10.0,1008.0
11.0,2017-05-01 11:00:00,23.666666666666664,0.0,0.0,56.66666666666666,1.2333333333333334,109.66666666666669,1.0,0.0,2017.0,5.0,1.0,11.0,1008.1
12.0,2017-05-01 12:00:00,28.0,0.0,0.0,35.0,1.8,142.0,1.0,0.0,2017.0,5.0,1.0,12.0,1007.8
13.0,2017-05-01 13:00:00,28.33333333333333,0.0,0.0,33.333333333333336,2.0,148.33333333333334,1.0,0.0,2017.0,5.0,1.0,13.0,1007.2
14.0,2017-05-01 14:00:00,28.666666666666668,0.0,0.0,31.666666666666668,2.2,154.66666666666666,1.0,0.0,2017.0,5.0,1.0,14.0,1006.8
15.0,2017-05-01 15:00:00,29.0,0.0,0.0,30.0,2.4,161.0,1.0,0.0,2017.0,5.0,1.0,15.0,1006.5
16.0,2017-05-01 16:00:00,27.33333333333333,0.0,3.333333333333333,35.0,2.9666666666666663,154.66666666666666,1.3333333333333333,0.0,2017.0,5.0,1.0,16.0,1006.4
17.0,2017-05-01 17:00:00,25.666666666666668,0.0,6.666666666666667,40.0,3.533333333333333,148.33333333333334,1.6666666666666663,0.0,2017.0,5.0,1.0,17.0,1006.7
18.0,2017-05-01 18:00:00,24.0,0.0,10.0,45.0,4.1,142.0,2.0,0.0,2017.0,5.0,1.0,18.0,1007.5
19.0,2017-05-01 19:00:00,21.666666666666668,0.0,10.0,50.0,3.8,136.0,2.0,0.0,2017.0,5.0,1.0,19.0,1008.6
20.0,2017-05-01 20:00:00,19.33333333333333,0.0,10.0,55.0,3.5,130.0,2.0,0.0,2017.0,5.0,1.0,20.0,1009.7
