datetime,year,month,day,hour,lunYear,lunMonth,lunDay,temperature,precipitationform,precipitationprob,humidity,windspeed,winddirection,cloud,precipitation,snow,sunrise,sunset,sunshine,pressure
2020-08-29 00:00:00,2020.0,8.0,29.0,0.0,2020.0,7.0,11.0,26.0,0.0,30.0,95.0,1.4,126.0,4.0,0.0,0.0,6.0,19.0,13.0,1000.6
2020-08-29 01:00:00,2020.0,8.0,29.0,1.0,2020.0,7.0,11.0,26.0,0.0,30.0,95.0,1.3333333333333333,125.66666666666669,4.0,0.0,0.0,6.0,19.0,13.0,1000.6
2020-08-29 02:00:00,2020.0,8.0,29.0,2.0,2020.0,7.0,11.0,26.0,0.0,30.0,95.0,1.2666666666666666,125.33333333333331,4.0,0.0,0.0,6.0,19.0,13.0,1000.3
2020-08-29 03:00:00,2020.0,8.0,29.0,3.0,2020.0,7.0,11.0,26.0,0.0,30.0,95.0,1.2,125.0,4.0,0.0,0.0,6.0,19.0,13.0,1000.1
2020-08-29 04:00:00,2020.0,8.0,29.0,4.0,2020.0,7.0,11.0,26.0,0.0,30.0,95.0,1.2666666666666666,123.33333333333331,4.0,0.0,0.0,6.0,19.0,13.0,1000.0
2020-08-29 05:00:00,2020.0,8.0,29.0,5.0,2020.0,7.0,11.0,26.0,0.0,30.0,95.0,1.3333333333333333,121.66666666666669,4.0,0.0,0.0,6.0,19.0,13.0,999.8
2020-08-29 06:00:00,2020.0,8.0,29.0,6.0,2020.0,7.0,11.0,26.0,0.0,30.0,95.0,1.4,120.0,4.0,0.0,0.0,6.0,19.0,13.0,999.9
2020-08-29 07:00:00,2020.0,8.0,29.0,7.0,2020.0,7.0,11.0,26.33333333333333,0.0,30.0,95.0,1.5333333333333332,126.33333333333331,4.0,0.0,0.0,6.0,19.0,13.0,1000.3
2020-08-29 08:00:00,2020.0,8.0,29.0,8.0,2020.0,7.0,11.0,26.666666666666668,0.0,30.0,95.0,1.6666666666666667,132.66666666666666,4.0,0.0,0.0,6.0,19.0,13.0,1000.7
2020-08-29 09:00:00,2020.0,8.0,29.0,9.0,2020.0,7.0,11.0,27.0,0.0,30.0,95.0,1.8,139.0,4.0,0.0,0.0,6.0,19.0,13.0,1001.1
2020-08-29 10:00:00,2020.0,8.0,29.0,10.0,2020.0,7.0,11.0,27.666666666666668,0.0,30.0,91.66666666666669,2.0,146.33333333333334,4.0,0.0,0.0,6.0,19.0,13.0,1001.4
2020-08-29 11:00:00,2020.0,8.0,29.0,11.0,2020.0,7.0,11.0,28.33333333333333,0.0,30.0,88.33333333333333,2.2,153.66666666666666,4.0,0.0,0.0,6.0,19.0,13.0,1001.5
2020-08-29 12:00:00,2020.0,8.0,29.0,12.0,2020.0,7.0,11.0,29.0,0.0,30.0,85.0,2.4,161.0,4.0,0.0,0.0,6.0,19.0,13.0,1001.1
2020-08-29 13:00:00,2020.0,8.0,29.0,13.0,2020.0,7.0,11.0,29.33333333333333,0.0,30.0,85.0,2.333333333333333,162.0,4.0,0.0,0.0,6.0,19.0,13.0,1000.7
2020-08-29 14:00:00,2020.0,8.0,29.0,14.0,2020.0,7.0,11.0,29.666666666666668,0.0,30.0,85.0,2.2666666666666666,163.0,4.0,0.0,0.0,6.0,19.0,13.0,1000.3
2020-08-29 15:00:00,2020.0,8.0,29.0,15.0,2020.0,7.0,11.0,30.0,0.0,30.0,85.0,2.2,164.0,4.0,0.0,0.0,6.0,19.0,13.0,1000.3
2020-08-29 16:00:00,2020.0,8.0,29.0,16.0,2020.0,7.0,11.0,29.33333333333333,0.0,30.0,86.66666666666667,2.1,158.66666666666666,4.0,0.0,0.0,6.0,19.0,13.0,1000.9
2020-08-29 17:00:00,2020.0,8.0,29.0,17.0,2020.0,7.0,11.0,28.666666666666668,0.0,30.0,88.33333333333333,2.0,153.33333333333334,4.0,0.0,0.0,6.0,19.0,13.0,1001.2
