 format: day,hour,forecast,value  location:62_71 Start : 20200801 
 1,0200,+4,193.000000 
 1,0200,+7,185.000000 
 1,0200,+10,176.000000 
 1,0200,+13,180.000000 
 1,0200,+16,192.000000 
 1,0200,+19,188.000000 
 1,0200,+22,192.000000 
 1,0200,+25,202.000000 
 1,0200,+28,205.000000 
 1,0200,+31,198.000000 
 1,0200,+34,173.000000 
 1,0200,+37,176.000000 
 1,0200,+40,183.000000 
 1,0200,+43,186.000000 
 1,0200,+46,188.000000 
 1,0200,+49,200.000000 
 1,0200,+52,205.000000 
 1,0200,+55,201.000000 
 1,0200,+58,180.000000 
 1,0200,+61,172.000000 
 1,0500,+4,185.000000 
 1,0500,+7,176.000000 
 1,0500,+10,180.000000 
 1,0500,+13,192.000000 
 1,0500,+16,188.000000 
 1,0500,+19,192.000000 
 1,0500,+22,202.000000 
 1,0500,+25,205.000000 
 1,0500,+28,198.000000 
 1,0500,+31,173.000000 
 1,0500,+34,176.000000 
 1,0500,+37,183.000000 
 1,0500,+40,186.000000 
 1,0500,+43,188.000000 
 1,0500,+46,200.000000 
 1,0500,+49,205.000000 
 1,0500,+52,201.000000 
 1,0500,+55,180.000000 
 1,0500,+58,172.000000 
 1,0800,+4,177.000000 
 1,0800,+7,193.000000 
 1,0800,+10,204.000000 
 1,0800,+13,193.000000 
 1,0800,+16,196.000000 
 1,0800,+19,203.000000 
 1,0800,+22,212.000000 
 1,0800,+25,210.000000 
 1,0800,+28,192.000000 
 1,0800,+31,183.000000 
 1,0800,+34,189.000000 
 1,0800,+37,189.000000 
 1,0800,+40,193.000000 
 1,0800,+43,205.000000 
 1,0800,+46,209.000000 
 1,0800,+49,204.000000 
 1,0800,+52,187.000000 
 1,0800,+55,180.000000 
 1,1100,+4,193.000000 
 1,1100,+7,204.000000 
 1,1100,+10,193.000000 
 1,1100,+13,196.000000 
 1,1100,+16,203.000000 
 1,1100,+19,212.000000 
 1,1100,+22,210.000000 
 1,1100,+25,192.000000 
 1,1100,+28,183.000000 
 1,1100,+31,189.000000 
 1,1100,+34,189.000000 
 1,1100,+37,193.000000 
 1,1100,+40,205.000000 
 1,1100,+43,209.000000 
 1,1100,+46,204.000000 
 1,1100,+49,187.000000 
 1,1100,+52,180.000000 
 1,1400,+4,204.000000 
 1,1400,+7,193.000000 
 1,1400,+10,196.000000 
 1,1400,+13,203.000000 
 1,1400,+16,212.000000 
 1,1400,+19,210.000000 
 1,1400,+22,192.000000 
 1,1400,+25,183.000000 
 1,1400,+28,189.000000 
 1,1400,+31,189.000000 
 1,1400,+34,193.000000 
 1,1400,+37,205.000000 
 1,1400,+40,209.000000 
 1,1400,+43,204.000000 
 1,1400,+46,187.000000 
 1,1400,+49,180.000000 
 1,1700,+4,193.000000 
 1,1700,+7,196.000000 
 1,1700,+10,203.000000 
 1,1700,+13,212.000000 
 1,1700,+16,210.000000 
 1,1700,+19,192.000000 
 1,1700,+22,183.000000 
 1,1700,+25,189.000000 
 1,1700,+28,189.000000 
 1,1700,+31,193.000000 
 1,1700,+34,205.000000 
 1,1700,+37,209.000000 
 1,1700,+40,204.000000 
 1,1700,+43,187.000000 
 1,1700,+46,180.000000 
 1,2000,+4,202.000000 
 1,2000,+7,210.000000 
 1,2000,+10,214.000000 
 1,2000,+13,208.000000 
 1,2000,+16,189.000000 
 1,2000,+19,188.000000 
 1,2000,+22,198.000000 
 1,2000,+25,197.000000 
 1,2000,+28,193.000000 
 1,2000,+31,207.000000 
 1,2000,+34,211.000000 
 1,2000,+37,209.000000 
 1,2000,+40,189.000000 
 1,2000,+43,180.000000 
 1,2000,+46,176.000000 
 1,2000,+49,162.000000 
 1,2000,+52,174.000000 
 1,2000,+55,189.000000 
 1,2000,+58,193.000000 
 1,2000,+61,186.000000 
 1,2000,+64,163.000000 
 1,2000,+67,160.000000 
 1,2300,+4,210.000000 
 1,2300,+7,214.000000 
 1,2300,+10,208.000000 
 1,2300,+13,189.000000 
 1,2300,+16,188.000000 
 1,2300,+19,198.000000 
 1,2300,+22,197.000000 
 1,2300,+25,193.000000 
 1,2300,+28,207.000000 
 1,2300,+31,211.000000 
 1,2300,+34,209.000000 
 1,2300,+37,189.000000 
 1,2300,+40,180.000000 
 1,2300,+43,176.000000 
 1,2300,+46,162.000000 
 1,2300,+49,174.000000 
 1,2300,+52,189.000000 
 1,2300,+55,193.000000 
 1,2300,+58,186.000000 
 1,2300,+61,163.000000 
 1,2300,+64,160.000000 
 2,0200,+4,214.000000 
 2,0200,+7,208.000000 
 2,0200,+10,189.000000 
 2,0200,+13,188.000000 
 2,0200,+16,198.000000 
 2,0200,+19,197.000000 
 2,0200,+22,193.000000 
 2,0200,+25,207.000000 
 2,0200,+28,211.000000 
 2,0200,+31,209.000000 
 2,0200,+34,189.000000 
 2,0200,+37,180.000000 
 2,0200,+40,176.000000 
 2,0200,+43,162.000000 
 2,0200,+46,174.000000 
 2,0200,+49,189.000000 
 2,0200,+52,193.000000 
 2,0200,+55,186.000000 
 2,0200,+58,163.000000 
 2,0200,+61,160.000000 
 2,0500,+4,208.000000 
 2,0500,+7,189.000000 
 2,0500,+10,188.000000 
 2,0500,+13,198.000000 
 2,0500,+16,197.000000 
 2,0500,+19,193.000000 
 2,0500,+22,207.000000 
 2,0500,+25,211.000000 
 2,0500,+28,209.000000 
 2,0500,+31,189.000000 
 2,0500,+34,180.000000 
 2,0500,+37,176.000000 
 2,0500,+40,162.000000 
 2,0500,+43,174.000000 
 2,0500,+46,189.000000 
 2,0500,+49,193.000000 
 2,0500,+52,186.000000 
 2,0500,+55,163.000000 
 2,0500,+58,160.000000 
 2,0800,+4,191.000000 
 2,0800,+7,196.000000 
 2,0800,+10,203.000000 
 2,0800,+13,198.000000 
 2,0800,+16,198.000000 
 2,0800,+19,210.000000 
 2,0800,+22,208.000000 
 2,0800,+25,202.000000 
 2,0800,+28,186.000000 
 2,0800,+31,180.000000 
 2,0800,+34,162.000000 
 2,0800,+37,145.000000 
 2,0800,+40,159.000000 
 2,0800,+43,175.000000 
 2,0800,+46,180.000000 
 2,0800,+49,172.000000 
 2,0800,+52,155.000000 
 2,0800,+55,158.000000 
 2,1100,+4,196.000000 
 2,1100,+7,203.000000 
 2,1100,+10,198.000000 
 2,1100,+13,198.000000 
 2,1100,+16,210.000000 
 2,1100,+19,208.000000 
 2,1100,+22,202.000000 
 2,1100,+25,186.000000 
 2,1100,+28,180.000000 
 2,1100,+31,162.000000 
 2,1100,+34,145.000000 
 2,1100,+37,159.000000 
 2,1100,+40,175.000000 
 2,1100,+43,180.000000 
 2,1100,+46,172.000000 
 2,1100,+49,155.000000 
 2,1100,+52,158.000000 
 2,1400,+4,203.000000 
 2,1400,+7,198.000000 
 2,1400,+10,198.000000 
 2,1400,+13,210.000000 
 2,1400,+16,208.000000 
 2,1400,+19,202.000000 
 2,1400,+22,186.000000 
 2,1400,+25,180.000000 
 2,1400,+28,162.000000 
 2,1400,+31,145.000000 
 2,1400,+34,159.000000 
 2,1400,+37,175.000000 
 2,1400,+40,180.000000 
 2,1400,+43,172.000000 
 2,1400,+46,155.000000 
 2,1400,+49,158.000000 
 2,1700,+4,198.000000 
 2,1700,+7,198.000000 
 2,1700,+10,210.000000 
 2,1700,+13,208.000000 
 2,1700,+16,202.000000 
 2,1700,+19,186.000000 
 2,1700,+22,180.000000 
 2,1700,+25,162.000000 
 2,1700,+28,145.000000 
 2,1700,+31,159.000000 
 2,1700,+34,175.000000 
 2,1700,+37,180.000000 
 2,1700,+40,172.000000 
 2,1700,+43,155.000000 
 2,1700,+46,158.000000 
 2,2000,+4,200.000000 
 2,2000,+7,211.000000 
 2,2000,+10,207.000000 
 2,2000,+13,197.000000 
 2,2000,+16,180.000000 
 2,2000,+19,172.000000 
 2,2000,+22,156.000000 
 2,2000,+25,141.000000 
 2,2000,+28,162.000000 
 2,2000,+31,175.000000 
 2,2000,+34,177.000000 
 2,2000,+37,172.000000 
 2,2000,+40,161.000000 
 2,2000,+43,165.000000 
 2,2000,+46,165.000000 
 2,2000,+49,167.000000 
 2,2000,+52,169.000000 
 2,2000,+55,177.000000 
 2,2000,+58,180.000000 
 2,2000,+61,177.000000 
 2,2000,+64,178.000000 
 2,2000,+67,187.000000 
 2,2300,+4,211.000000 
 2,2300,+7,207.000000 
 2,2300,+10,197.000000 
 2,2300,+13,180.000000 
 2,2300,+16,172.000000 
 2,2300,+19,156.000000 
 2,2300,+22,141.000000 
 2,2300,+25,162.000000 
 2,2300,+28,175.000000 
 2,2300,+31,177.000000 
 2,2300,+34,172.000000 
 2,2300,+37,161.000000 
 2,2300,+40,165.000000 
 2,2300,+43,165.000000 
 2,2300,+46,167.000000 
 2,2300,+49,169.000000 
 2,2300,+52,177.000000 
 2,2300,+55,180.000000 
 2,2300,+58,177.000000 
 2,2300,+61,178.000000 
 2,2300,+64,187.000000 
 3,0200,+4,207.000000 
 3,0200,+7,197.000000 
 3,0200,+10,180.000000 
 3,0200,+13,172.000000 
 3,0200,+16,156.000000 
 3,0200,+19,141.000000 
 3,0200,+22,162.000000 
 3,0200,+25,175.000000 
 3,0200,+28,177.000000 
 3,0200,+31,172.000000 
 3,0200,+34,161.000000 
 3,0200,+37,165.000000 
 3,0200,+40,165.000000 
 3,0200,+43,167.000000 
 3,0200,+46,169.000000 
 3,0200,+49,177.000000 
 3,0200,+52,180.000000 
 3,0200,+55,177.000000 
 3,0200,+58,178.000000 
 3,0200,+61,187.000000 
 3,0500,+4,197.000000 
 3,0500,+7,180.000000 
 3,0500,+10,172.000000 
 3,0500,+13,156.000000 
 3,0500,+16,141.000000 
 3,0500,+19,162.000000 
 3,0500,+22,175.000000 
 3,0500,+25,177.000000 
 3,0500,+28,172.000000 
 3,0500,+31,161.000000 
 3,0500,+34,165.000000 
 3,0500,+37,165.000000 
 3,0500,+40,167.000000 
 3,0500,+43,169.000000 
 3,0500,+46,177.000000 
 3,0500,+49,180.000000 
 3,0500,+52,177.000000 
 3,0500,+55,178.000000 
 3,0500,+58,187.000000 
 3,0800,+4,191.000000 
 3,0800,+7,168.000000 
 3,0800,+10,164.000000 
 3,0800,+13,159.000000 
 3,0800,+16,166.000000 
 3,0800,+19,178.000000 
 3,0800,+22,183.000000 
 3,0800,+25,176.000000 
 3,0800,+28,160.000000 
 3,0800,+31,158.000000 
 3,0800,+34,161.000000 
 3,0800,+37,158.000000 
 3,0800,+40,165.000000 
 3,0800,+43,173.000000 
 3,0800,+46,174.000000 
 3,0800,+49,172.000000 
 3,0800,+52,173.000000 
 3,0800,+55,178.000000 
 3,1100,+4,168.000000 
 3,1100,+7,164.000000 
 3,1100,+10,159.000000 
 3,1100,+13,166.000000 
 3,1100,+16,178.000000 
 3,1100,+19,183.000000 
 3,1100,+22,176.000000 
 3,1100,+25,160.000000 
 3,1100,+28,158.000000 
 3,1100,+31,161.000000 
 3,1100,+34,158.000000 
 3,1100,+37,165.000000 
 3,1100,+40,173.000000 
 3,1100,+43,174.000000 
 3,1100,+46,172.000000 
 3,1100,+49,173.000000 
 3,1100,+52,178.000000 
 3,1400,+4,164.000000 
 3,1400,+7,159.000000 
 3,1400,+10,166.000000 
 3,1400,+13,178.000000 
 3,1400,+16,183.000000 
 3,1400,+19,176.000000 
 3,1400,+22,160.000000 
 3,1400,+25,158.000000 
 3,1400,+28,161.000000 
 3,1400,+31,158.000000 
 3,1400,+34,165.000000 
 3,1400,+37,173.000000 
 3,1400,+40,174.000000 
 3,1400,+43,172.000000 
 3,1400,+46,173.000000 
 3,1400,+49,178.000000 
 3,1700,+4,159.000000 
 3,1700,+7,166.000000 
 3,1700,+10,178.000000 
 3,1700,+13,183.000000 
 3,1700,+16,176.000000 
 3,1700,+19,160.000000 
 3,1700,+22,158.000000 
 3,1700,+25,161.000000 
 3,1700,+28,158.000000 
 3,1700,+31,165.000000 
 3,1700,+34,173.000000 
 3,1700,+37,174.000000 
 3,1700,+40,172.000000 
 3,1700,+43,173.000000 
 3,1700,+46,178.000000 
 3,2000,+4,167.000000 
 3,2000,+7,177.000000 
 3,2000,+10,182.000000 
 3,2000,+13,174.000000 
 3,2000,+16,160.000000 
 3,2000,+19,152.000000 
 3,2000,+22,159.000000 
 3,2000,+25,160.000000 
 3,2000,+28,166.000000 
 3,2000,+31,176.000000 
 3,2000,+34,177.000000 
 3,2000,+37,173.000000 
 3,2000,+40,171.000000 
 3,2000,+43,177.000000 
 3,2000,+46,187.000000 
 3,2000,+49,191.000000 
 3,2000,+52,196.000000 
 3,2000,+55,205.000000 
 3,2000,+58,211.000000 
 3,2000,+61,213.000000 
 3,2000,+64,211.000000 
 3,2000,+67,212.000000 
 3,2300,+4,177.000000 
 3,2300,+7,182.000000 
 3,2300,+10,174.000000 
 3,2300,+13,160.000000 
 3,2300,+16,152.000000 
 3,2300,+19,159.000000 
 3,2300,+22,160.000000 
 3,2300,+25,166.000000 
 3,2300,+28,176.000000 
 3,2300,+31,177.000000 
 3,2300,+34,173.000000 
 3,2300,+37,171.000000 
 3,2300,+40,177.000000 
 3,2300,+43,187.000000 
 3,2300,+46,191.000000 
 3,2300,+49,196.000000 
 3,2300,+52,205.000000 
 3,2300,+55,211.000000 
 3,2300,+58,213.000000 
 3,2300,+61,211.000000 
 3,2300,+64,212.000000 
 4,0200,+4,182.000000 
 4,0200,+7,174.000000 
 4,0200,+10,160.000000 
 4,0200,+13,152.000000 
 4,0200,+16,159.000000 
 4,0200,+19,160.000000 
 4,0200,+22,166.000000 
 4,0200,+25,176.000000 
 4,0200,+28,177.000000 
 4,0200,+31,173.000000 
 4,0200,+34,171.000000 
 4,0200,+37,177.000000 
 4,0200,+40,187.000000 
 4,0200,+43,191.000000 
 4,0200,+46,196.000000 
 4,0200,+49,205.000000 
 4,0200,+52,211.000000 
 4,0200,+55,213.000000 
 4,0200,+58,211.000000 
 4,0200,+61,212.000000 
 4,0500,+4,174.000000 
 4,0500,+7,160.000000 
 4,0500,+10,152.000000 
 4,0500,+13,159.000000 
 4,0500,+16,160.000000 
 4,0500,+19,166.000000 
 4,0500,+22,176.000000 
 4,0500,+25,177.000000 
 4,0500,+28,173.000000 
 4,0500,+31,171.000000 
 4,0500,+34,177.000000 
 4,0500,+37,187.000000 
 4,0500,+40,191.000000 
 4,0500,+43,196.000000 
 4,0500,+46,205.000000 
 4,0500,+49,211.000000 
 4,0500,+52,213.000000 
 4,0500,+55,211.000000 
 4,0500,+58,212.000000 
 4,0800,+4,162.000000 
 4,0800,+7,151.000000 
 4,0800,+10,158.000000 
 4,0800,+13,158.000000 
 4,0800,+16,166.000000 
 4,0800,+19,171.000000 
 4,0800,+22,172.000000 
 4,0800,+25,172.000000 
 4,0800,+28,175.000000 
 4,0800,+31,184.000000 
 4,0800,+34,195.000000 
 4,0800,+37,203.000000 
 4,0800,+40,210.000000 
 4,0800,+43,219.000000 
 4,0800,+46,226.000000 
 4,0800,+49,227.000000 
 4,0800,+52,220.000000 
 4,0800,+55,217.000000 
 4,1100,+4,151.000000 
 4,1100,+7,158.000000 
 4,1100,+10,158.000000 
 4,1100,+13,166.000000 
 4,1100,+16,171.000000 
 4,1100,+19,172.000000 
 4,1100,+22,172.000000 
 4,1100,+25,175.000000 
 4,1100,+28,184.000000 
 4,1100,+31,195.000000 
 4,1100,+34,203.000000 
 4,1100,+37,210.000000 
 4,1100,+40,219.000000 
 4,1100,+43,226.000000 
 4,1100,+46,227.000000 
 4,1100,+49,220.000000 
 4,1100,+52,217.000000 
 4,1400,+4,158.000000 
 4,1400,+7,158.000000 
 4,1400,+10,166.000000 
 4,1400,+13,171.000000 
 4,1400,+16,172.000000 
 4,1400,+19,172.000000 
 4,1400,+22,175.000000 
 4,1400,+25,184.000000 
 4,1400,+28,195.000000 
 4,1400,+31,203.000000 
 4,1400,+34,210.000000 
 4,1400,+37,219.000000 
 4,1400,+40,226.000000 
 4,1400,+43,227.000000 
 4,1400,+46,220.000000 
 4,1400,+49,217.000000 
 4,1700,+4,158.000000 
 4,1700,+7,166.000000 
 4,1700,+10,171.000000 
 4,1700,+13,172.000000 
 4,1700,+16,172.000000 
 4,1700,+19,175.000000 
 4,1700,+22,184.000000 
 4,1700,+25,195.000000 
 4,1700,+28,203.000000 
 4,1700,+31,210.000000 
 4,1700,+34,219.000000 
 4,1700,+37,226.000000 
 4,1700,+40,227.000000 
 4,1700,+43,220.000000 
 4,1700,+46,217.000000 
 4,2000,+4,163.000000 
 4,2000,+7,161.000000 
 4,2000,+10,166.000000 
 4,2000,+13,161.000000 
 4,2000,+16,160.000000 
 4,2000,+19,174.000000 
 4,2000,+22,182.000000 
 4,2000,+25,197.000000 
 4,2000,+28,220.000000 
 4,2000,+31,234.000000 
 4,2000,+34,229.000000 
 4,2000,+37,231.000000 
 4,2000,+40,243.000000 
 4,2000,+43,241.000000 
 4,2000,+46,227.000000 
 4,2000,+49,216.000000 
 4,2000,+52,224.000000 
 4,2000,+55,219.000000 
 4,2000,+58,203.000000 
 4,2000,+61,184.000000 
 4,2000,+64,199.000000 
 4,2000,+67,193.000000 
 4,2300,+4,161.000000 
 4,2300,+7,166.000000 
 4,2300,+10,161.000000 
 4,2300,+13,160.000000 
 4,2300,+16,174.000000 
 4,2300,+19,182.000000 
 4,2300,+22,197.000000 
 4,2300,+25,220.000000 
 4,2300,+28,234.000000 
 4,2300,+31,229.000000 
 4,2300,+34,231.000000 
