 format: day,hour,forecast,value  location:54_126 Start : 20200801 
 1,0200,+7,70.000000 
 1,0200,+13,20.000000 
 1,0200,+19,10.000000 
 1,0200,+25,20.000000 
 1,0200,+31,40.000000 
 1,0200,+37,70.000000 
 1,0200,+43,10.000000 
 1,0200,+49,70.000000 
 1,0200,+55,20.000000 
 1,0200,+61,70.000000 
 1,0500,+4,70.000000 
 1,0500,+10,20.000000 
 1,0500,+16,10.000000 
 1,0500,+22,20.000000 
 1,0500,+28,40.000000 
 1,0500,+34,70.000000 
 1,0500,+40,10.000000 
 1,0500,+46,70.000000 
 1,0500,+52,20.000000 
 1,0500,+58,70.000000 
 1,0800,+7,20.000000 
 1,0800,+13,10.000000 
 1,0800,+19,20.000000 
 1,0800,+25,40.000000 
 1,0800,+31,70.000000 
 1,0800,+37,10.000000 
 1,0800,+43,70.000000 
 1,0800,+49,20.000000 
 1,0800,+55,70.000000 
 1,1100,+4,20.000000 
 1,1100,+10,10.000000 
 1,1100,+16,20.000000 
 1,1100,+22,40.000000 
 1,1100,+28,70.000000 
 1,1100,+34,10.000000 
 1,1100,+40,70.000000 
 1,1100,+46,20.000000 
 1,1100,+52,70.000000 
 1,1400,+7,10.000000 
 1,1400,+13,20.000000 
 1,1400,+19,40.000000 
 1,1400,+25,70.000000 
 1,1400,+31,10.000000 
 1,1400,+37,70.000000 
 1,1400,+43,20.000000 
 1,1400,+49,70.000000 
 1,1700,+4,10.000000 
 1,1700,+10,20.000000 
 1,1700,+16,40.000000 
 1,1700,+22,70.000000 
 1,1700,+28,10.000000 
 1,1700,+34,70.000000 
 1,1700,+40,20.000000 
 1,1700,+46,70.000000 
 1,2000,+7,40.000000 
 1,2000,+13,20.000000 
 1,2000,+19,70.000000 
 1,2000,+25,40.000000 
 1,2000,+31,70.000000 
 1,2000,+37,70.000000 
 1,2000,+43,70.000000 
 1,2000,+49,40.000000 
 1,2000,+55,70.000000 
 1,2000,+61,70.000000 
 1,2000,+67,70.000000 
 1,2300,+4,40.000000 
 1,2300,+10,20.000000 
 1,2300,+16,70.000000 
 1,2300,+22,40.000000 
 1,2300,+28,70.000000 
 1,2300,+34,70.000000 
 1,2300,+40,70.000000 
