瘤痢,瘤痢疙,老矫,泅瘤扁拘(hPa)
156,堡林,2021-05-01 00:00,998
156,堡林,2021-05-01 01:00,997.5
156,堡林,2021-05-01 02:00,997.1
156,堡林,2021-05-01 03:00,995.9
156,堡林,2021-05-01 04:00,995.2
156,堡林,2021-05-01 05:00,995.8
156,堡林,2021-05-01 06:00,996.4
156,堡林,2021-05-01 07:00,997.4
156,堡林,2021-05-01 08:00,998.3
156,堡林,2021-05-01 09:00,998.4
156,堡林,2021-05-01 10:00,999
156,堡林,2021-05-01 11:00,999.4
156,堡林,2021-05-01 12:00,999.5
156,堡林,2021-05-01 13:00,999.4
156,堡林,2021-05-01 14:00,999.6
156,堡林,2021-05-01 15:00,999.5
156,堡林,2021-05-01 16:00,999.7
156,堡林,2021-05-01 17:00,1000
156,堡林,2021-05-01 18:00,1000.8
156,堡林,2021-05-01 19:00,1001.8
156,堡林,2021-05-01 20:00,1002.5
156,堡林,2021-05-01 21:00,1003.4
156,堡林,2021-05-01 22:00,1003.9
156,堡林,2021-05-01 23:00,1003.9
156,堡林,2021-05-02 00:00,1003.5
156,堡林,2021-05-02 01:00,1003.4
156,堡林,2021-05-02 02:00,1003.8
156,堡林,2021-05-02 03:00,1004.2
156,堡林,2021-05-02 04:00,1004.3
156,堡林,2021-05-02 05:00,1004.8
156,堡林,2021-05-02 06:00,1005.4
156,堡林,2021-05-02 07:00,1006.4
156,堡林,2021-05-02 08:00,1007.3
156,堡林,2021-05-02 09:00,1008.1
156,堡林,2021-05-02 10:00,1009.3
156,堡林,2021-05-02 11:00,1009.3
156,堡林,2021-05-02 12:00,1009.5
156,堡林,2021-05-02 13:00,1009.2
156,堡林,2021-05-02 14:00,1009.3
156,堡林,2021-05-02 15:00,1008.9
156,堡林,2021-05-02 16:00,1009
156,堡林,2021-05-02 17:00,1009.3
156,堡林,2021-05-02 18:00,1009.2
156,堡林,2021-05-02 19:00,1009.4
156,堡林,2021-05-02 20:00,1010.5
156,堡林,2021-05-02 21:00,1011.7
156,堡林,2021-05-02 22:00,1012.2
156,堡林,2021-05-02 23:00,1012.3
156,堡林,2021-05-03 00:00,1011.9
156,堡林,2021-05-03 01:00,1011.8
156,堡林,2021-05-03 02:00,1012
156,堡林,2021-05-03 03:00,1012
156,堡林,2021-05-03 04:00,1011.6
156,堡林,2021-05-03 05:00,1011.4
156,堡林,2021-05-03 06:00,1011.8
156,堡林,2021-05-03 07:00,1012.2
156,堡林,2021-05-03 08:00,1012.4
156,堡林,2021-05-03 09:00,1012.5
156,堡林,2021-05-03 10:00,1012.1
156,堡林,2021-05-03 11:00,1011.7
156,堡林,2021-05-03 12:00,1010.8
156,堡林,2021-05-03 13:00,1010
156,堡林,2021-05-03 14:00,1009.2
156,堡林,2021-05-03 15:00,1008.3
156,堡林,2021-05-03 16:00,1008.1
156,堡林,2021-05-03 17:00,1007.9
156,堡林,2021-05-03 18:00,1007.9
156,堡林,2021-05-03 19:00,1007.9
156,堡林,2021-05-03 20:00,1008.5
156,堡林,2021-05-03 21:00,1009.3
156,堡林,2021-05-03 22:00,1009.4
156,堡林,2021-05-03 23:00,1008.9
156,堡林,2021-05-04 00:00,1008.4
156,堡林,2021-05-04 01:00,1008.8
